Clean data CS105 Winter'26 Mini-Project Survey (Responses) Timestamp,"What class are you filling out this survey for? Check all that apply. If none of the listed options apply, select ""Other"" and enter your class name (for example, CS105).",What is your current class standing?,Are you a transfer student?,"What is your major/minor? (If your major is not listed, please write it in ""Other.."")",What is your current cumulative GPA?,What is your age? Answer with a number only.,What is your ethnicity?,What gender do you identify as?,Select ALL that you identify with:,"How many hours of sleep on average do you get? Select a answer for each of the following situations:
 [During finals week:]","Over the past 2 weeks, how often have you felt mentally overwhelmed or stressed
1. Never
2. Almost Never
3. Sometimes
4. Somewhat frequently
5. E5day",Please indicate how much you agree with the following statements regarding the current job market in your major.  (Each row should have one answer) [I feel optimistic about my career prospects in this field],"Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [In-person lectures]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well How 4 are you able to concentrate during each of the following:
 [In-person discussions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Online lectures or discussions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Small study group sessions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Exams]",How many coding languages would you say you’re proficient in?,What was the first programming language you learned?,"Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Final project instead of exam]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Easy exams]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Friendly professor]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Accessible office hours]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Low workload]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [No required attendence]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Interested in material]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Prepares for future job]",What class(es) do you think prepared you most for the career field you want to pursue? CS courses,What class(es) do you think prepared you most for the career field you want to pursue? ENGINEERING,What class(es) do you think prepared you most for the career field you want to pursue? DS courses,What class(es) do you think prepared you most for the career field you want to pursue? Humanities,Think about your time at UCR. Which week during the quarter do you: [Start feeling burnout],Think about your time at UCR. Which week during the quarter do you: [Have sleep deprivation],Think about your time at UCR. Which week during the quarter do you: [Start feeling less confident in the material],Think about your time at UCR. Which week during the quarter do you: [Start feeling more confident in the material],Think about your time at UCR. Which week during the quarter do you: [Study the most],Think about your time at UCR. Which week during the quarter do you: [Enjoy the most],"Choose the resources that has been most helpful in your success in your favorite course. Choose all that apply.
","How confidently can you explain the following concepts to someone who hasn’t taken it? 
   FOR CS MAJORS/MINORS: Pointers, if/else statements, for/while loops
   FOR DS MAJORS/MINORS: numpy, pandas, matplotlib, hypothesis testing"
2/1/2026 22:54:54,CS105,Senior,Yes,CSBA major,3.0 – 3.33,25,White,Male,First Generation Student,4-5 hours,4,3 (3),4,4,2,2,4,2,C++/C,2 (5 small reason),2 (5 small reason),4 (Good reason),4 (Good reason),3 (Moderate reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),CS111,,,,Week 5,Week 5,Week 4,Week 8,Week 8,Week 1,"Office hours, AI tools, Personal tutoring",3
2/1/2026 23:28:31,CS105,Senior,Yes,CS major,3.0 – 3.33,25,Hispanic or Latino,Female,First Generation Student,Less than 4,5,3 (3),4,3,1,5,4,2,C++/C,5 (5 good reason),4 (Good reason),4 (Good reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),"CS141, CS180, CS100",,,"ENGR180W, ENGR101",Week 7,Week 4,Week 6,Week 9,Week 9,Week 1,"Office hours, AI tools, Study groups, ULA services",8
2/1/2026 23:39:26,CS105,Senior,No,CS or DS minor,3.0 – 3.33,22,Hispanic or Latino,Male,First Generation Student,4-5 hours,5,Disagree (2),4,4,3,4,4,3,Python,5 (5 good reason),3 (Moderate reason),5 (5 good reason),1 (Not a good reason),2 (5 small reason),2 (5 small reason),5 (5 good reason),1 (Not a good reason),N/A,N/A,N/A,N/A,Week 4,Week 1,Week 4,Week 2,Week 9,Week 2,N/A,8
2/1/2026 23:44:50,CS111,Junior,Yes,CS major,3.67 – 4.0,21,Asian,Male,First Generation Student,4-5 hours,4,Disagree (2),3,3,2,3,3,2,C++/C,4 (Good reason),5 (5 good reason),4 (Good reason),2 (5 small reason),5 (5 good reason),2 (5 small reason),4 (Good reason),5 (5 good reason),CS100,,,,Week 7,Week 5,Week 5,Week 1,Week 8,Week 1,"AI tools, ULA services",8
2/2/2026 0:30:27,CS111,Senior,No,CS major,3.33 – 3.67,19,Asian,Female,Second Generation Student,8-9 hours,5,Agree (4),2,4,3,4,4,4,Java,4 (Good reason),2 (5 small reason),4 (Good reason),2 (5 small reason),4 (Good reason),4 (Good reason),5 (5 good reason),5 (5 good reason),"CS 100, CS 141, CS010C",,,,Week 7,Week 4,Week 3,Week 8,Week 5,Week 1,"Office hours, AI tools, Study groups, ULA services",10
2/2/2026 1:24:55,CS105,Junior,No,CS or DS minor,3.67 – 4.0,20,Asian,Female,First Generation Student,6-7 hours,3,Agree (4),4,4,2,5,5,1,Java,1 (Not a good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),,,,POSC196A,Week 4,Week 6,Week 3,Week 2,Week 8,Week 1,"Office hours, AI tools",7
2/2/2026 2:21:45,CS105,Senior,No,CS major,3.0 – 3.33,21,Asian,Male,Second Generation Student,4-5 hours,4,Agree (4),2,2,3,4,5,3,Python,5 (5 good reason),2 (5 small reason),5 (5 good reason),1 (Not a good reason),2 (5 small reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),"CS141, CS180",,,,Week 5,Week 8,Week 4,Week 2,Week 8,Week 1,"AI tools, Slack communication, Study groups",10
2/2/2026 4:54:15,CS105,Senior,No,CS major,3.67 – 4.0,20,"Asian, White",Male,Other,4-5 hours,2,3 (3),3,4,2,1,4,4,,3 (Moderate reason),3 (Moderate reason),4 (Good reason),2 (5 small reason),4 (Good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),"CS173, CS171",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
2/2/2026 9:38:29,CS105,Junior,Yes,Data Science major,Prefer not to say,26,Hispanic or Latino,Male,First Generation Student,Less than 4,3,Disagree (2),4,4,1,3,2,0,C++/C,4 (Good reason),5 (5 good reason),4 (Good reason),4 (Good reason),2 (5 small reason),1 (Not a good reason),4 (Good reason),5 (5 good reason),N/A,N/A,N/A,N/A,Week 5,Week 5,Week 6,Week 8,Week 4,Week 1,"Office hours, AI tools",7
2/2/2026 9:52:37,CS105,Senior,No,CS major,3.33 – 3.67,21,Prefer not to say,Female,First Generation Student,6-7 hours,4,Disagree (2),3,3,2,4,4,1,C++/C,4 (Good reason),4 (Good reason),4 (Good reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),4 (Good reason),3 (Moderate reason),N/A,N/A,N/A,N/A,Week 6,Week 8,Week 3,Week 7,Week 9,Week 1,Study groups,9
